"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","C"
"15",202.5288,11.47298,1899.6942,16.89976,1.67168,23.50326,96.60483,65.16236,203.75148,14.5167,269.98389,16207.824,67.79133,17.58155,382.59672,272450.404115868,156.93692648433,1247.2647,14.35338,59.63028,17.56236,25.93986,24661.7857453338,224.84961,34.29003,13.25221,1030.1217,92.99544,9.36509,24.59816,484.01361,87.55203,15.22961,23918.643,8.28718,21.07571,67.32358,-375.63324,97.49562,6.54534,12369.216,432.86046,1.95377,121.46898,0,13.83181,-6.15974,107.97879,-6.48705,16.73036,"1"
"17",370.7163,124.48911,4618.446,19.22057,1.45263,6.73073,34.70231,57.34362,247.91838,11.48726,283.68384,7424.4,36.18781,12.12454,138.53958,41700.357,12.25171,422.85132,14.9621,16.32616,145.93431,20.19161,3390.5979,169.09002,32.35134,-6.22624,14831.067,119.1768,8.06058,-13.46093,555.99717,62.11622,126.41766,33076.53,5.099,15.60152,-32.21479,-130.86471,101.65494,5.77959,13384.62,5810.8902,-34.72936,218.26218,0,15.8068,-31.10686,337.97442,350.31093,9.6284,"0"
"18",332.59311,117.87408,10061.442,20.75465,1.30189,6.56053,33.40973,54.48005,235.88823,11.46614,283.85289,25309.407,58.03811,22.69886,120.52368,45075.699,17.5781,883.7658,16.66412,61.23929,18.02066,22.1321,2483.8551,241.72287,32.95944,-45.86195,10100.358,110.31306,11.29861,-10.56459,569.01333,76.96743,54.74074,24787.353,4.95028,23.90498,21.96822,-224.64951,85.27503,6.52441,9896.601,-1061.3097,75.20517,381.08079,0.13019,11.59283,8.10791,213.93105,75.08166,16.44387,"0"
"20",282.67092,57.28794,2234.2131,15.91699,0.62349,22.31688,86.54187,61.56629,222.24141,12.95047,297.23475,4930.9815,45.22929,4.71317,176.42265,69863.19,42.25622,1628.1516,17.35391,73.80861,96.56481,19.744,5456.6649,242.0658,33.37013,4.84894,1423.9875,91.54782,7.70799,11.37907,305.30982,91.37394,36.96178,31734.756,5.79689,17.22833,44.77541,-254.55963,85.46064,5.62926,10669.263,3254.0676,26.32405,232.6059,0,9.22544,-11.97778,118.05141,51.61097,19.64616,"1"
"21",209.99036,24.60451,153.24062,15.64715,3.49014,28.70676,76.39779,60.78328,242.47392,13.65604,302.52191,22091.88749,65.46621,22.40896,212.25167,171744.2186,110.87906,894.88703,21.59048,49.73496,32.10428,16.93098,14190.83095,308.40564,32.39606,-119.76911,24200.39626,79.25363,10.58404,4.70005,350.07715,75.59464,65.53524,18368.62102,9.93099,20.57018,110.35693,-244.93285,117.620943693306,6.37027,11167.12289,-116.42663,-14.09765,643.80889,-0.18568,8.75112,-26.78445,60.053,2.376,19.71801,"1"
"22",177.26169,33.03568,4886.6352,21.06977,0.47325,9.3989,82.31838,61.80323,246.67845,17.93972,281.83947,3943.0119,64.28937,9.32908,202.39908,135607.77,86.44251,3720.5628,24.79832,34.9614,58.38663,22.14817,10348.482,322.84479,33.36281,41.51413,8775.903,76.91361,13.74025,-49.49453,356.83833,66.82678,102.87624,29727.408,10.79546,24.32719,176.76006,-135.68022,69.35466,4.20458,6628.5816,-2502.1608,42.93836,429.58434,0,9.10234,4.86698,28.75554,-0.51351,10.58522,"1"
"23",234.58068,22.65318,1341.2634,16.8952,0.73263,33.16299,110.44761,62.08379,217.7847,16.7058,281.61177,17994.027,64.56875,11.90278,213.41976,163479.63,116.472,1279.6878,19.44786,82.53366,64.45559,26.44115,16310.22,324.79542,32.60926,26.38429,761.3667,98.0559,9.2253,-3.51435,451.3566,98.22288,41.14822,19005.705,7.63071,24.86919,35.10168,-269.81208,85.09908,5.25088,10684.719,-875.541,22.61579,233.7789,0,9.13298,21.32086,66.67967,-15.20905,18.13217,"1"
"24",402.12855,101.33754,7816.251,21.95573,0.44136,7.61036,51.4099,56.71579,238.42053,8.67158,288.42966,3295.3779,-11.40177,10.82755,159.39345,64873.179,18.13679,3601.6689,23.98081,7.61767,83.32164,28.98297,2306.8218,228.17472,27.29419,118.05003,10387.881,134.05941,17.97823,-75.45564,750.1266,25.81697,57.11751,31045.377,2.61002,16.20686,-46.85355,-177.2265,78.67449,4.08992,7953.078,-3090.1443,109.03449,412.19772,0,12.66178,89.81178,241.02873,203.27469,13.0577,"0"
"25",408.90987,200.99079,8524.605,16.51715,0.20846,0,41.33859,56.73035,245.56479,5.59836,318.10035,10482.342,53.78543,39.56495,120.23526,29337.351,12.2602,1814.7621,15.42599,91.87557,-151.15485,18.55286,3648.4164,151.64682,29.17237,-90.03603,6701.9079,108.98136,7.28447,-57.68145,549.07578,73.78101,142.13655,28267.161,4.09896,23.91588,30.66947,-114.37509,65.1004,8.1282,7805.418,-920.5635,128.81403,451.58223,0,15.60594,-33.74652,179.82021,227.5827,13.66697,"0"
"27",270.12534,40.49051,10343.72720832,14.1548,1.2616,0,77.17236,62.86031,231.44877,12.36266,293.87376,965.4411,19.70675,35.09306,232.31403,112207.8,56.61664,4128.2079,18.6329,59.08263,-59.62497,19.99158,25881.555,144.49083,30.60419,17.52062,4825.4322,98.99223,10.43632,0.6201,370.461,71.72895,117.33381,33508.608,9.25414,14.39816,41.16119,-143.9547,83.17743,10.3618,9903.708,-77.09232,6.66514,278.60682,0.09705,15.97081,-51.28715,82.49364,36.51025,15.87635,"1"
"28",427.85382,160.51815,7523.415,22.62924,0.16667,3.34794,42.78524,50.35399,245.06178,11.70309,293.71713,17381.238,-59.37243,62.71472,105.10356,35104.509,10.38257,2156.1672,12.66668,53.75293,-490.90395,25.00001,4195.2345,121.59939,21.60245,-485.006507352678,5522.0493,115.5888,10.96583,-34.97969,635.72322,40.21865,164.68368,22940.913,3.29361,16.45809,34.86674,-107.62827,96.69108,12.7414,10426.452,-3115.9641,30.78559,1654.9857,1.03465164404098,21.33694,-156.657223169558,251.05788,163.33611,14.65201,"0"
"29",395.78193,99.32136,9222.333,27.96115,0,7.09527,37.40849,50.69168,237.64428,9.86369,270.34959,11144.949,-64.02572,57.99581,102.84795,36408.264,9.44348,3170.5086,16.08493,35.95217,-288.70152,15.63402,4132.1547,130.76466,33.39255,-238.85799,6366.8646,120.94182,8.36128,-36.47361,852.7848,38.22876,151.12794,23577.231,1.3929,15.18166,-4.65246,-124.47048,78.75867,15.44241,11835.294,-3408.1653,47.70991,683.9142,0.616941183030217,28.34354,-157.93341,462.36486,76.64175,14.8597,"0"
"31",350.60004,195.76749,8908.728,19.51872,0,5.4628,21.80014,56.5248,230.79879,10.29563,278.79864,12691.101,-57.49618,13.12642,102.52227,29628.945,11.45234,1405.3299,18.10132,61.54448,-33.08219,22.04419,3035.3445,175.08612,33.43361,-96.89601,8422.761,92.24541,9.72189,-47.90856,572.05002,74.83326,82.12173,28264.608,0.77415,19.15136,85.74561,-147.36882,66.03597,7.36196,9019.197,-999.1614,131.43465,491.4249,0,14.5857,4.10674,204.42975,116.472,19.26956,"0"
"33",450.52239,139.22199,28094.937,18.18743,0.17207,0,35.05152,47.77201,248.92923,8.12765,270.09567,-34.04515,-46.48813,53.56505,121.0329,36430.827,8.61789,334.69485,14.62593,67.87109,-249.04101,21.50875,11036.136,102.42636,33.89756,-191.45568,7028.478,126.23895,7.15558,-15.47567,1013.0718,21.41456,74.2578,20484.996,2.34387,14.8292,-7.74739,-152.51553,67.90573,21.47687,10126.785,-2276.5722,38.05447,672.129,0.640554804578085,32.69724,-134.02491,366.93165,91.18626,10.92725,"0"
"34",310.43432,202.42042,14537.28376,15.94366,-0.42695,1.01843,37.20591,55.83554,226.16199,10.09027,292.22459,-63.16099,-49.78119,3.78642418659439,113.58662,20811.96443,7.8601,453.49144,17.23418,113.37899,105.92457,19.84066,896.49806,177.11456,27.74902,16.48207,6767.42528,115.82041,8.56234,12.97802,460.76898,100.08869,59.07394,30744.54396,6.1241,19.35979,-8.35636,-152.75572,70.58241,6.71496,8297.95556,-499.8877,145.6487,153.63229,0.66272,13.02083,31.94495,259.98602,226.17528,23.40593,"1"
"35",293.45569,82.7646512887529,32100.18588,17.19712,2.16991,-1.73671,80.84002,57.00833,227.14981,12.85835,319.84549,-13.38958,55.77967,42.25157,145.47297,61992.18001,28.70177,469.48468,15.57796,106.78568,-23.75347,21.2896,6208.48707,252.36543,31.03236,2.852,157.25524,115.88023,7.78565,26.00873,523.46831,112.95481,55.22534,27029.75726,2.74843,25.53346,0.61612,-201.3592,77.59565,5.90909,10860.8916,-840.32921,27.59368,132.63819,-0.13595,12.56537,6.1294,248.52028,52.53315,17.91836,"0"
"36",293.56939,96.20366,10965.14027,17.24997,-0.21103,-1.8796,88.07648,60.92699,213.74514,15.67332,294.15016,2891.68431,2.19915,3.94525,164.2926,44023.74082,21.5330985389177,744.01433,17.46554,64.22071,51.04683,22.90318,6433.01173,249.55181,33.51611,16.41778,10754.82131,110.71452,7.45788,17.4129,373.79357,117.75425,63.55632,33486.98185,7.39321,21.93073,17.93019,-177.52234,82.35774,7.63942,8302.67531,768.63409,158.54177,144.85894,0.19857,13.47512,14.50044,150.73441,64.77627,22.01869,"1"
"37",257.27879,52.47118,39716.83946,16.96075,2.12065,0.79815,88.11794,63.57986,220.96957,12.60382,293.9894,-43.83337,55.70223,9.67586,184.87155,82452.17137,50.76466,1236.43853,15.26669,79.18385,24.7794,22.53445,10529.36898,250.3042,31.9071,13.90984,1654.80467,94.99449,11.0264,5.07011,416.45917,77.1900957004481,30.67369,28542.84427,13.0738,20.03698,18.536,-249.55385,92.66045,4.68287,10236.91475,-32.18639,26.30295,203.83263,0.09085,11.85189,3.28569,123.35425,62.59366,16.09298,"1"
"38",386.28063,42.09828,2608.4691,18.904,0.4112,19.63443,47.48214,50.34337,240.42015,9.63081,298.11795,11932.584,32.3461,36.7011,140.35635,78740.04,32.64997,912.6078,17.84623,44.40661,-55.34614,21.95828,8235.909,199.95855,32.27896,-8.5758,8552.964,130.03671,10.61641,-13.81415,666.53448,83.00838,64.16075,17159.886,1.67159,18.27527,-25.0421,-214.97019,88.3269,8.91873,12223.764,-2342.1843,1.56332,240.61197,0.08224,15.33932,-4.29248,302.81823,128.85336,19.88946,"0"
"40",391.75026,111.01686,2144.2164,15.66949,0.5509,13.37807,73.14966,50.77924,242.8524,11.06256,310.08462,8875.539,41.58326,38.55182,125.16117,41303.262,18.36732,248.03637,17.90419,54.55858,-52.47685,17.49102,4338.9201,233.23725,32.4142,-22.64911,293.38662,101.18781,9.67449,-14.65539,449.90346,110.13642,31.40411,25344.183,4.41026,22.20179,35.06318,-224.94207,67.24354,7.47919,9799.725,-1963.0431,121.30407,452.61723,0.13772,12.64273,-0.26668,284.70918,86.59086,21.23744,"0"
"41",329.57781,72.95508,145.39197,15.66921,3.75314,25.55643,80.43399,52.5464,261.23676,13.63813,321.67869,21079.293,8.24267,11.45317,107.03004,47628.285,22.40492,371.40423,20.11295,101.63769,219.41172,17.03348,4087.1322,293.49633,32.67178,10.13983,307.89801,106.83822,5.51142,27.44144,485.93112,104.32386,61.18196,15230.301,5.45451,21.90543,12.48907,-202.36044,98.57823,6.08045,14432.592,4240.1811,-37.37771,210.79155,0.09623,8.96096,-38.9129,341.14497,188.88267,15.4411,"1"
"42",210.83019,203.16498,9315.207,17.21481,0.26538,0,38.73315,57.85698,266.00949,8.71394,314.16528,14423.691,-68.03704,22.38174,111.33495,26163.765,11.48429,180.01134,18.84231,95.19723,-34.71445,17.25,2528.4567,191.68545,30.00258,-125.73594,777.3678,82.87935,7.41715,-152.66457,557.82498,72.57489,25.9963,29721.06,7.47374,31.67417,252.68628,-287.14419,41.65323,6.07536,5110.7886,-2100.843,476.13795,677.5593,0,14.32895,0.40213,106.6188,-12.3708,12.59781,"0"
"43",410.8743,59.42432,8209.758,19.12756,1.29664,9.15533,69.07245,54.07599,252.32196,11.49098,311.26452,24860.286,51.65299,37.71023,142.3677,82145.88,32.16311,967.8009,17.78254,49.13497,-71.99115,18.43087,5921.4351,242.70129,32.15172,-87.3747,12510.252,120.64098,14.53871,-33.27187,594.81519,71.22387,42.27851,9572.439,3.33379,20.90728,34.32253,-274.93671,86.59983,5.80145,10873.02,-4000.5855,4.31757,605.27214,0.27785,12.05057,-42.93967,89.26254,35.30958,16.89741,"0"
"44",287.84385,98.36778,7906.641,19.68473,0,11.09306,63.26921,58.24538,218.95149,14.32254,283.54653,10698.588,45.68283,3.33569,144.05544,49267.035,25.44851,1046.7507,17.85582,60.74456,82.89729,24.36045,3486.6459,356.67825,28.10494,28.02704,6229.9203,125.40129,12.6555,15.8918,507.99387,93.3156,59.19814,25300.644,4.09373,21.92937,-22.41527,-202.38804,91.04343,5.03766,10842.453,-472.37262,24.94081,185.71074,0,8.73506,23.96618,156.92877,3.4248,17.43285,"0"
"45",340.98144,99.98928,12189.126,24.72153,0,12.99249,63.60993,60.44152,228.59355,8.05706,290.61282,2181.5799,-22.42424,13.89971,215.91687,66286.437,22.10277,4788.7656,16.35438,73.55607,-31.75497,22.42886,6036.9066,184.60122,26.76855,29.05224,15226.713,106.98726,6.71103,-15.67528,393.97137,53.51378,104.53638,33020.64,2.76452,15.04724,4.6733,-137.41074,84.6078,6.00024,8720.496,-1998.2124,29.6967,286.65153,0,24.33941,-16.49514,158.65032,252.66006,15.14515,"0"
"46",343.87921,176.87334,7958.82709,15.70619,0.54007,-0.06076,52.7888,51.76998,233.16041,8.42358,301.79674,18641.5710316444,52.87873,33.19921,121.65853,31454.82751,12.52832,838.60576,18.78746,79.90172,-83.681,20.91763,4115.36943,155.614,34.66375,-58.62524,10807.37811,104.22537,9.15643,-15.52738,578.05279,84.28739,172.66222,21392.38161,5.2061,22.81741,5.05973,-104.04031,72.64329,10.44168,8211.76143,-1439.62243,83.91907,517.58989,-0.67576,15.37363,-21.56823,135.47082,48.17477,19.76567,"0"
"47",516.52434,165.56757,5219.9604,24.45733,0.69463,3.4757,54.63944,57.10992,266.19303,14.45709,300.99663,9864.447,44.11646,59.0758,141.57972,39359.256,12.38957,3718.6446,17.13422,54.25594,-451.32693,28.24832,2737.3611,131.7693,22.89655,-313.283682976652,5349.2595,106.78578,17.23655,-118.79109,579.06525,29.96608,164.74716,33033.129,2.50517,12.7837,91.61337,-81.78639,57.70491,8.32775,7535.628,-4438.8252,184.2921,1121.98306115266,0.676499619370564,20.57635,-176.75937,128.48283,-26.84631,11.47491,"0"
"48",215.22316,68.17882,15198.06227,22.62347,0.59927,2.49063,95.01459,59.71149,247.93456,19.30576,287.33409,3875.46297958968,67.5596,31.9073,240.0761,99914.30359,43.22429,6139.82366,23.91647,36.22235,-25.81117,21.94225,5046.02455,284.54769,32.08696,27.74725,18226.78872,83.88306,20.35163,-77.32283,297.65578,42.32528,157.17761,33293.28416,6.4751,16.74324,170.49896,-95.63841,68.76066,5.41094,6808.74128,-4829.73542,95.38575,398.88705,0.144977831952131,11.33639,-17.56523,47.15219,4.05307,12.9869,"0"
"49",287.73276,168.49455,10085.799,16.78825,0,0,98.64654,58.5356,216.24876,11.14971,289.85865,-127.13871,51.05262,5.48933,164.53257,36032.697,15.41391,1234.9413,16.49997,94.33956,33.75749,21.21426,5381.0547,217.72881,32.70317,-37.81793,2526.9111,113.40426,9.36047,-37.83305,427.04376,84.52707,100.82073,32772.516,6.91173,18.73688,-31.82032,-146.58084,82.16934,9.10517,7591.794,-501.1125,128.30895,392.17668,0,13.54739,17.06591,120.52299,31.06794,14.39361,"0"
"50",304.14485,152.89251,10174.87713,21.29502,1.00951,10.00265,64.06769,59.14939,234.07255,7.69367,291.02249,11426.76631,58.68988,17.38075,142.496,46220.12648,18.29725,1528.31199,16.39079,41.78875,-1.10978,19.35144,3530.44499,292.39102,32.38855,-105.17244,9110.69549,105.11925,15.21911,-89.38567,535.38217,64.23467,62.96569,31998.66353,4.32866,22.94028,53.25497,-161.9835,77.1622,5.38396,7470.17893,-3800.43916,148.4789,603.715184334431,0.15524,15.18322,6.61334,104.49631,34.0979,10.2438,"0"
"51",377.56386,124.2276,7849.026,25.23351,0,8.81917,53.63901,59.08366,215.93481,9.53477,256.29015,3649.6722,-28.32126,4.43359,129.52887,34195.641,11.2145,1933.5594,15.28612,42.70175,96.14046,20.59388,1315.4574,177.32655,30.32771,18.30908,6722.0766,106.20204,15.8088,-91.96596,645.51225,28.70469,80.29461,32783.694,2.12176,15.84019,12.95606,-135.76233,85.49376,5.11892,8707.179,-2240.1264,135.54153,297.44175,0,15.44448,27.78865,210.68874,67.25837,10.75669,"0"
"53",523.23183,134.64867,6265.9521,24.7276,0,6.25077,46.68409,51.24347,256.53717,13.06763,306.5118,13227.438,-50.7504,15.8947,118.59651,38543.952,15.28495,2297.5896,22.80002,22.33199,-19.38596,19.50002,2774.9109,253.20309,33.6424,8.10336,9256.005,125.54205,12.07127,-18.79739,590.5572,46.87253,130.50177,26765.79,6.84,20.27938,-32.7839,-134.78115,113.54364,5.37985,12137.583,-301.78944,-18.03736,377.09535,0,8.66157,18.04481,406.69566,434.63031,13.27988,"0"
"55",355.20786,148.06572,10638.075,25.13767,0,3.80974,75.35766,58.59715,228.63219,9.51517,290.14707,9364.68,-14.5532,2.48337,140.37222,37058.313,18.5501,1644.1941,19.46152,69.4968,82.4067,22.64615,1507.4637,259.96647,30.57086,95.8824,10432.248,111.82278,12.81178,-9.77978,439.98057,72.89436,85.03767,20586.357,3.82143,16.2544,-13.29375,-177.65154,103.14534,3.90391,10533.057,-1272.6774,-32.84573,382.57947,0,11.99876,14.5058,210.38238,96.6345,19.02192,"0"
"57",322.63365,121.10397,9553.74,22.5216,0.35294,14.18964,68.40405,61.2128,228.16023,12.95434,297.45624,2161.5423,53.91915,2.75843,167.43195,41020.776,22.22159,979.3722,19.23527,55.41287,89.80281,27.17648,1299.1113,369.08928,31.41253,58.47122,9421.122,104.89863,14.32199,22.93167,413.96757,68.12004,43.87745,29592.168,4.8411,17.43112,10.56687,-268.12641,91.21731,2.70647,8390.055,925.2003,27.51334,226.84095,0,6.55635,42.83285,139.1316,91.95975,19.69398,"0"
"58",324.42627,71.65995,7400.181,19.77188,0,13.11545,60.5927,55.47476,227.23632,12.138,293.15271,23891.319,48.69254,8.68262,115.43838,52870.629,27.05621,1427.748,18.94312,57.52261,69.56718,21.2006,4193.7234,321.44961,26.01404,35.85323,6159.4092,127.02348,11.42888,5.42399,564.95475,82.52055,79.25409,12628.518,4.30215,23.22692,-30.82513,-190.44207,83.71149,5.05432,12941.157,-2029.8972,2.54157,322.82064,0,8.08991,23.27142,187.32189,88.4442,17.98816,"0"
"59",318.08103,46.81691,745.407,18.02977,0.375,8.43911,68.50824,60.60781,213.36456,12.33134,273.89964,-26.34247,19.90008,5.15049,185.31192,77089.56,38.71466,638.27415,14.25002,60.66197,32.60209,22.21876,8880.99,254.24844,31.29026,7.42647,1093.9674,113.11032,9.07874,29.85754,479.39889,104.34801,63.01998,31572.744,6.82355,23.24403,-3.69654,-198.93804,77.1006,6.16699,9843.402,-889.8516,116.04489,126.6219,0,15.02992,17.51682,177.86475,96.83805,17.2658,"1"
"61",370.60038,79.23201,6200.9058,18.25395,0,8.7314,64.23376,60.14068,236.9598,4.93464,277.33446,-28.65032,-9.22923,13.29023,195.38799,66236.412,27.33138,927.0495,18.34834,92.81949,17.72693,23.12921,10998.669,126.42387,28.33375,6.73043,7574.337,102.58851,11.56799,29.19121,634.59714,62.47288,150.20472,32310.009,5.18804,9.22979,-7.61953,-103.61868,114.39441,9.70954,8935.776,2769.1218,36.15345,233.30832,0,16.58712,29.56015,149.05449,304.48182,16.75182,"0"
"62",388.74393,110.01084,4356.2529,19.34933,0.3638,8.5934,53.43829,51.93927,262.76925,10.0818,315.95514,29304.783,59.7106,39.3863,111.11622,48557.784,18.03536,1021.2345,17.09841,57.37978,-93.65922,13.70299,3572.8407,220.17003,29.19135,-201.58212,8553.033,109.78245,11.31793,-20.97959,540.74403,63.07663,64.40536,13600.521,2.83897,18.02673,29.23778,-203.16429,115.37559,6.1782,12741.264,-658.40352,-24.89831,686.70456,0.12127,12.94302,-65.60223,383.00382,559.64727,14.69659,"0"
"63",393.20892,167.90391,7907.193,22.42259,0,5.88154,77.00814,52.37831,244.85892,12.01607,293.82822,12054.231,22.98245,29.22702,120.72102,31266.798,11.99869,3085.2384,19.05221,72.49209,-54.55043,14.93284,1404.4467,126.95448,25.13387,-26.76075,7762.155,118.06866,10.8733,6.84589,515.83158,51.7756,179.03982,16879.056,1.03604,18.47358,0.64922,-102.78861,104.4867,3.28489,13001.463,-2721.4911,2.1032,156.19737,0,16.45008,-54.37821,342.12753,133.92693,17.63902,"0"
"64",208.98582,8.14662,21633.466278047,18.20882,1.27572,0,81.76155,65.57139,181.34649,12.3944,261.21951,79.38933,68.99193,23.02351,286.550108398513,205954.188670084,120.135593630463,1295.1231,9.15195,76.60104,-20.95427,32.11495,20815.975941217,207.33327,33.12911,0.31412,1020.4893,102.33528,10.18288,12.67406,574.7217,86.36868,16.68696,22358.967,7.02558,21.64295,17.63785,-295.6098,104.05476,7.19422,12365.559,-1743.1746,-7.62043,150.36756,0.05547,16.02277,3.76288,154.68282,-7.06664,16.5867,"1"
"66",391.35144,96.48408,147.82146,18.8686,0.48763,10.68955,29.79655,54.78338,234.9381,7.659,295.18407,4246.4808,61.26883,48.71269,127.26843,47980.116,17.22226,802.7805,12.55655,77.31933,-183.15084,16.8233,5316.0084,154.52067,29.71209,-164.772,9504.405,119.59011,9.49895,-11.2185,638.70609,66.94518,95.22276,25303.266,1.35184,18.2149,-16.63894,-144.09822,106.74162,9.24386,12373.77,-2002.1799,7.76354,547.92969,0.505235511348835,19.07588,-81.83055,333.16167,252.72768,16.7325,"0"
